page,section_index,heading,word_count,preview
"index.html",0,"PATTERN 158",19,"PATTERN 158             Finding elegant solutions to complex problems                               "
"index.html",1,"PATTERN 158",17,"Finding elegant solutions to complex problems  I cheat; but I cheat fair. View My Work              "
"index.html",2,"I Reverse-Engineer Chaos Into Clarity",98,"I Reverse-Engineer Chaos Into Clarity             After 28 years building and rescuing enterprise sy"
"index.html",3,"I Reverse-Engineer Chaos Into Clarity",93,"After 28 years building and rescuing enterprise systems; I've learned that the best solutions aren't"
"index.html",4,"Legacy System Rescue",15,"Forensic reverse-engineering of "black box" systems. Making undocumented legacy systems work when do"
"index.html",5,"Cross-Platform Integration",14,"Building bridges between systems that weren't designed to talk. SCORM; xAPI; AICC protocol expertise"
"index.html",6,"AI Implementation",15,"Thoughtful AI/LLM application. Understanding when to use generative AI vs. structured data for produ"
"index.html",7,"Systems Architecture",15,"Building foundational systems that harmonize—like the diapason register that gives a pipe organ its "
"index.html",8,"Featured Projects",242,"Featured Projects                                                                 ⚠ FINDING 1       "
"index.html",9,"Cross-Domain SCORM Framework",70,"⚠ FINDING 1                     Cross-Domain SCORM Framework                                  2011-2"
"index.html",10,"Legacy Courseware CMS Rescue",83,"⚠ FINDING 2                     Legacy Courseware CMS Rescue                                  2004-2"
"index.html",11,"Enterprise AI Training Agent",87,"⚠ FINDING 3                     Enterprise AI Training Agent                                  2025-2"
"index.html",12,"From the Field",75,"From the Field             Direct feedback from engagements spanning 17 years                       "
"index.html",13,"From the Field",72,"Direct feedback from engagements spanning 17 years Dan's technical expertise is tremendous… with his"
"index.html",14,"The "Cheat Fair" Philosophy",99,"The "Cheat Fair" Philosophy                               Like a tuning fork finds the right frequen"
"index.html",15,"The "Cheat Fair" Philosophy",95,"Like a tuning fork finds the right frequency; I find the optimal solution—but always within the rule"
"index.html",16,"The "Cheat" Part",32,"Using AI to analyze 30;000+ emails instead of reading manually                         Decompiling c"
"index.html",17,"The "Fair" Part",20,"Validating AI output against source data                         Testing decompiled insights before "
"index.html",18,"The Influences",18,"Air crash investigation (forensic methodology)                         Speedrunning/TAS culture (opt"
"philosophy.html",0,"Philosophy",7,"Philosophy                 How I think about engineering problems"
"philosophy.html",1,"Philosophy",6,"How I think about engineering problems"
"philosophy.html",2,"The Brand Elements",200,"The Brand Elements             Six patterns extracted from 28+ years of actual work — not marketing "
